種別,都道府県,年次,性別,年齢階級,人数
転入者数,全国,2025年,総数,総数,2515731
転入者数,全国,2025年,総数,0歳～4歳,96544
転入者数,全国,2025年,総数,5歳～9歳,50804
転入者数,全国,2025年,総数,10歳～14歳,28027
転入者数,全国,2025年,総数,15歳～19歳,144152
転入者数,全国,2025年,総数,20歳～24歳,585495
転入者数,全国,2025年,総数,25歳～29歳,533880
転入者数,全国,2025年,総数,30歳～34歳,314556
転入者数,全国,2025年,総数,35歳～39歳,187145
転入者数,全国,2025年,総数,40歳～44歳,128157
転入者数,全国,2025年,総数,45歳～49歳,101429
転入者数,全国,2025年,総数,50歳～54歳,96945
転入者数,全国,2025年,総数,55歳～59歳,74034
転入者数,全国,2025年,総数,60歳～64歳,49953
転入者数,全国,2025年,総数,65歳～69歳,31685
転入者数,全国,2025年,総数,70歳～74歳,23473
転入者数,全国,2025年,総数,75歳～79歳,22589
転入者数,全国,2025年,総数,80歳～84歳,18934
転入者数,全国,2025年,総数,85歳～89歳,15996
転入者数,全国,2025年,総数,90歳以上,11931
転入者数,全国,2025年,男,総数,1409065
転入者数,全国,2025年,男,0歳～4歳,49247
転入者数,全国,2025年,男,5歳～9歳,25754
転入者数,全国,2025年,男,10歳～14歳,14228
転入者数,全国,2025年,男,15歳～19歳,84370
転入者数,全国,2025年,男,20歳～24歳,322377
転入者数,全国,2025年,男,25歳～29歳,292625
転入者数,全国,2025年,男,30歳～34歳,177540
転入者数,全国,2025年,男,35歳～39歳,110822
転入者数,全国,2025年,男,40歳～44歳,78518
転入者数,全国,2025年,男,45歳～49歳,62923
転入者数,全国,2025年,男,50歳～54歳,59556
転入者数,全国,2025年,男,55歳～59歳,45666
転入者数,全国,2025年,男,60歳～64歳,30164
転入者数,全国,2025年,男,65歳～69歳,18200
転入者数,全国,2025年,男,70歳～74歳,12225
転入者数,全国,2025年,男,75歳～79歳,10287
転入者数,全国,2025年,男,80歳～84歳,6876
転入者数,全国,2025年,男,85歳～89歳,4759
転入者数,全国,2025年,男,90歳以上,2927
転入者数,全国,2025年,女,総数,1106666
転入者数,全国,2025年,女,0歳～4歳,47297
転入者数,全国,2025年,女,5歳～9歳,25050
転入者数,全国,2025年,女,10歳～14歳,13799
転入者数,全国,2025年,女,15歳～19歳,59782
転入者数,全国,2025年,女,20歳～24歳,263118
転入者数,全国,2025年,女,25歳～29歳,241255
転入者数,全国,2025年,女,30歳～34歳,137016
転入者数,全国,2025年,女,35歳～39歳,76323
転入者数,全国,2025年,女,40歳～44歳,49639
転入者数,全国,2025年,女,45歳～49歳,38506
転入者数,全国,2025年,女,50歳～54歳,37389
転入者数,全国,2025年,女,55歳～59歳,28368
転入者数,全国,2025年,女,60歳～64歳,19789
転入者数,全国,2025年,女,65歳～69歳,13485
転入者数,全国,2025年,女,70歳～74歳,11248
転入者数,全国,2025年,女,75歳～79歳,12302
転入者数,全国,2025年,女,80歳～84歳,12058
転入者数,全国,2025年,女,85歳～89歳,11237
転入者数,全国,2025年,女,90歳以上,9004
転入者数,北海道,2025年,総数,総数,53656
転入者数,北海道,2025年,総数,0歳～4歳,1963
転入者数,北海道,2025年,総数,5歳～9歳,1321
転入者数,北海道,2025年,総数,10歳～14歳,740
